Index 9, Data: 811
Index 0, Data: 802
Index 0, Data: 802
Index 86, Data: 888
Index 197, Data: 999
Index 10, Data: 812
Index 5, Data: 807
Index 1, Data: 803
Index 13, Data: 815
Index 11, Data: 813
Index 16, Data: 818
Index 0, Data: 802
Index 13, Data: 815
Index 14, Data: 816
Index 105, Data: 907
Index 89, Data: 891
Index 120, Data: 922
Index 171, Data: 973
Index 111, Data: 913
Index 112, Data: 914
Index 113, Data: 915
Index 14, Data: 816
Index 2, Data: 804
Index 10, Data: 812
Index 14, Data: 816
Index 103, Data: 905
Index 93, Data: 895
Index 16, Data: 818
Index 117, Data: 919
Index 18, Data: 820
Index 11, Data: 813
Index 21, Data: 823
Index 22, Data: 824
Index 23, Data: 825
Index 24, Data: 826
Index 25, Data: 827
Index 36, Data: 838
Index 27, Data: 829
Index 128, Data: 930
Index 29, Data: 831
Index 36, Data: 838
Index 30, Data: 832
Index 31, Data: 833
Index 32, Data: 834
Index 33, Data: 835
Index 59, Data: 861
Index 35, Data: 837
Index 86, Data: 888
Indices:  0    1    2    3    4    5    6    7    8    9    10   11   12   13   14   15   16   17   18   
Values:   3    1    1    0    0    1    0    0    0    1    2    2    0    2    3    0    2    0    1    
